beta,seed,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.1,9,300,1200,0.026755852842809364,8.0,0.1159202311936963,0.06105277777777762,7.0,8.0,8.0,10.0,0.44903823953823957,0.3611111111111111,0.4642857142857143,0.5357142857142857,0.4379176925782624,1245,1,1.0,0.0,0,0.0,0.0,6.0,6.0,14,0.7334225694444445,0.08666666666666667,0.06809523809523821,-0.026701167525719105,0.009524275111323078,0.025775306135047398
0.3,0,300,1200,0.026755852842809364,8.0,0.17410485346480148,0.09604444444444438,7.0,8.0,9.0,10.0,0.24188528138528137,0.16666666666666666,0.2222222222222222,0.32142857142857145,0.2309285467725233,669,1,1.0,0.0,0,0.0,0.0,6.0,5.96,13,0.5964364583333334,0.15333333333333332,0.14410256410256417,-0.007731843389310632,0.007746631693115448,0.017506168102813198
0.3,1,300,1200,0.026755852842809364,8.0,0.1670828137980285,0.09181388888888886,7.0,8.0,9.0,10.0,0.2706310726310726,0.17857142857142858,0.25,0.35714285714285715,0.2599215505306876,751,1,1.0,0.0,0,0.0,0.0,6.0,5.86,14,0.6169822916666666,0.09666666666666666,0.11285714285714299,-0.0062936893497934675,0.007614276068996073,0.019621390846622788
0.3,2,300,1200,0.026755852842809364,8.0,0.18902160370356258,0.10286666666666666,7.0,8.0,9.0,10.0,0.24198867798867799,0.15555555555555556,0.23809523809523808,0.30694444444444446,0.23058446757405926,672,1,1.0,0.0,0,0.0,0.0,6.0,5.886666666666667,12,0.5915270833333334,0.12,0.11722222222222234,-0.006766563480694797,0.007566644255793372,0.0168656646181559
0.3,3,300,1200,0.026755852842809364,8.0,0.1839950180484968,0.1008027777777778,7.0,8.0,9.0,11.0,0.22332732082732085,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.21593123209169054,628,1,1.0,0.0,0,0.0,0.0,6.0,5.8966666666666665,15,0.5762760416666667,0.11,0.13777777777777778,-0.009644564218589394,0.007536230617489606,0.01811313391314587
0.3,4,300,1200,0.026755852842809364,8.0,0.18228869045189464,0.09988055555555553,7.0,8.0,9.0,10.0,0.24455884855884857,0.14545454545454545,0.2222222222222222,0.30694444444444446,0.23121917651106777,672,1,1.0,0.0,0,0.0,0.0,6.0,5.95,12,0.609879513888889,0.11666666666666667,0.16833333333333345,-0.06363874011154265,0.007702241978761313,0.017339547344671073
0.3,5,300,1200,0.026755852842809364,8.0,0.1848422751068236,0.10246944444444428,7.0,8.0,9.0,11.0,0.22954882154882156,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2175756186984418,633,1,1.0,0.0,0,0.0,0.0,6.0,5.913333333333333,13,0.5840170138888889,0.11333333333333333,0.15538461538461545,-0.06962835540264835,0.007485776687566921,0.017775351942110173
0.3,6,300,1200,0.026755852842809364,8.0,0.17199806200458578,0.09375833333333317,7.0,8.0,9.0,10.0,0.20946065046065043,0.1388888888888889,0.19444444444444445,0.273989898989899,0.20071395670198067,581,1,1.0,0.0,0,0.0,0.0,6.0,5.973333333333334,12,0.5752822916666667,0.11333333333333333,0.10944444444444446,0.007917554043346781,0.007490785154176537,0.01768568845317802
0.3,7,300,1200,0.026755852842809364,8.0,0.19364916731037085,0.10763888888888884,7.0,8.0,9.0,11.0,0.20297667147667145,0.13333333333333333,0.19047619047619047,0.26944444444444443,0.18972602739726027,554,1,1.0,0.0,0,0.0,0.0,6.0,5.9,13,0.5660753472222222,0.12,0.17487179487179483,-0.07268424611223775,0.0072318211579995625,0.017487955992205515
0.3,8,300,1200,0.026755852842809364,8.0,0.1845602882529175,0.10228888888888887,7.0,8.0,9.0,11.0,0.25267998667998665,0.15454545454545454,0.2222222222222222,0.3333333333333333,0.23685115159848746,689,1,1.0,0.0,0,0.0,0.0,5.0,5.0,13,0.6017809027777777,0.13,0.13435897435897437,-0.07238203938127205,0.00760354561523456,0.018382894757622073
0.3,9,300,1200,0.026755852842809364,8.0,0.1868042647621658,0.10296111111111106,7.0,8.0,9.0,11.0,0.22593169793169793,0.1388888888888889,0.2,0.3013888888888889,0.20950200343445907,610,1,1.0,0.0,0,0.0,0.0,6.0,5.94,14,0.5824319444444445,0.10666666666666667,0.1590476190476191,0.030140615602469768,0.007463597540174883,0.017614269468362684
1.0,0,300,1200,0.026755852842809364,8.0,0.24622144504490262,0.13579722222222212,7.0,8.0,9.0,12.0,0.02277210752210752,0.0,0.0,0.03571428571428571,0.022044088176352707,66,1,1.0,0.0,0,0.0,0.0,5.0,4.99,12,0.31653298611111114,0.13666666666666666,0.22611111111111115,-0.06660523398566182,0.00650246656498869,0.017454496794698144
1.0,1,300,1200,0.026755852842809364,8.0,0.2516611478423583,0.13969444444444434,7.0,8.0,9.0,11.0,0.023672013172013166,0.0,0.011904761904761904,0.03571428571428571,0.024644760213143872,74,1,1.0,0.0,0,0.0,0.0,5.0,4.983333333333333,10,0.3241850694444445,0.13666666666666666,0.1379999999999999,-0.02157654635369571,0.006456540334829844,0.016584165678229686
