mu,seed,ARI,n,m,density,mean_degree,degree_cv,degree_gini,degree_q25,degree_q50,degree_q75,degree_q95,clustering_mean,clustering_q25,clustering_q50,clustering_q75,transitivity,triangles,components,largest_component_fraction,isolate_fraction,bridges,bridge_fraction,articulation_fraction,core_max,core_mean,communities,modularity,largest_community_fraction,community_gini,assortativity,betweenness_mean,betweenness_q95
0.3,4,0.4169088482571271,300,1161,0.02588628762541806,7.74,0.36464639226099743,0.20557278208441,6.0,7.0,10.0,13.0,0.05103092278092278,0.0,0.044444444444444446,0.07272727272727272,0.05155210643015521,155,1,1.0,0.0,2,0.0017226528854435831,0.006666666666666667,5.0,4.733333333333333,7,0.4035284708821956,0.26,0.26666666666666683,-0.029352978033944016,0.006793132261843479,0.018015530023235502
0.3,5,0.7333074155119957,300,1213,0.027045707915273134,8.086666666666666,0.34578837185332306,0.19343226161033233,6.0,8.0,10.0,13.0,0.04341390581096463,0.0,0.03571428571428571,0.05769230769230769,0.041457672228477835,135,1,1.0,0.0,1,0.0008244023083264633,0.0033333333333333335,5.0,4.8566666666666665,4,0.4165865258816789,0.2733333333333333,0.046666666666666634,-0.0007782316676589513,0.006998198537517771,0.017069848899607127
0.3,6,0.5394060139111918,300,1276,0.028450390189520624,8.506666666666666,0.30856651453862843,0.1738845350052245,7.0,8.0,10.0,13.0,0.03897620897620898,0.0,0.03571428571428571,0.06456043956043955,0.04155672823218998,147,1,1.0,0.0,0,0.0,0.0,6.0,5.72,6,0.4044614955631332,0.24,0.18555555555555547,-0.03997018832011433,0.006676788501441933,0.018697955630667323
0.3,7,0.5402775563288033,300,1187,0.026465997770345598,7.913333333333333,0.3542651914133345,0.1944903117101937,6.0,8.0,9.0,14.0,0.04406498947675418,0.0,0.03571428571428571,0.06666666666666667,0.04379328716036228,137,1,1.0,0.0,1,0.0008424599831508003,0.0033333333333333335,5.0,4.843333333333334,5,0.4065025561243718,0.2866666666666667,0.17599999999999993,-0.035117745152839025,0.006806713166128005,0.018483188568040636
0.3,8,0.6617965821152236,300,1163,0.02593088071348941,7.753333333333333,0.33663901531262863,0.191017483519633,6.0,8.0,10.0,12.0,0.04375213675213675,0.0,0.03300865800865801,0.06666666666666667,0.04427670121676431,131,1,1.0,0.0,0,0.0,0.0,5.0,4.81,5,0.4386131132681586,0.26,0.20666666666666678,0.0014412483384297937,0.006846448290612154,0.019040593413432106
0.3,9,0.8163475288269796,300,1269,0.028294314381270905,8.46,0.31337032787566926,0.173793012871027,7.0,8.0,10.0,13.0,0.05355300255300255,0.0,0.044444444444444446,0.07175324675324675,0.05018534359851725,176,2,0.9966666666666667,0.0033333333333333335,0,0.0,0.0,6.0,5.703333333333333,5,0.46780597642391986,0.27666666666666667,0.22533333333333339,0.009155985920722249,0.006706095107771883,0.017693913105561242
0.4,0,0.21470466424004853,300,1201,0.02677814938684504,8.006666666666666,0.33898653754181207,0.1891534832084374,6.0,8.0,10.0,13.0,0.04408192684508474,0.0,0.03571428571428571,0.05555555555555555,0.04002100840336134,127,1,1.0,0.0,0,0.0,0.0,5.0,4.86,10,0.3572286763528312,0.17,0.2546666666666666,0.004677820758869621,0.006689932589606823,0.01693518384996534
0.4,1,0.18076990700945533,300,1283,0.028606465997770347,8.553333333333333,0.3420691327977861,0.1930007794232267,6.0,8.0,11.0,14.0,0.0448492895992896,0.0,0.03636363636363636,0.06666666666666667,0.04264236902050114,156,1,1.0,0.0,0,0.0,0.0,6.0,5.576666666666667,10,0.3394518765388749,0.2,0.21933333333333316,0.010792006529332156,0.006491817562650095,0.018520415030062767
0.4,2,0.2723531170156965,300,1203,0.026822742474916388,8.02,0.3437328181843434,0.19311997783319468,6.0,8.0,10.0,13.0,0.04027289377289377,0.0,0.027777777777777776,0.047619047619047616,0.0378716744913928,121,1,1.0,0.0,1,0.0008312551953449709,0.0033333333333333335,5.0,4.81,7,0.3561676302455278,0.24666666666666667,0.2304761904761905,-0.01420957870894625,0.0066244630035668505,0.01920048624761841
0.4,3,0.12394799534933204,300,1225,0.027313266443701228,8.166666666666666,0.3491883848487606,0.19663129251700662,6.0,8.0,10.0,13.0,0.03387128176834059,0.0,0.026709401709401708,0.047619047619047616,0.0354035403540354,118,1,1.0,0.0,2,0.0016326530612244899,0.006666666666666667,5.0,4.806666666666667,9,0.33580374843815075,0.21333333333333335,0.25555555555555554,0.04978338933277182,0.00660084058935674,0.01882855296646714
