dataset,seed_a,seed_b,ARI
Karate club,7,17,0.8954674616853776
Karate club,7,18,1.0
Karate club,7,19,0.5116312811336268
Karate club,8,9,0.7585827675241466
Karate club,8,10,0.8569379363106053
Karate club,8,11,0.7585827675241466
Karate club,8,12,0.7585827675241466
Karate club,8,13,0.5116312811336268
Karate club,8,14,1.0
Karate club,8,15,0.7585827675241466
Karate club,8,16,0.8954674616853776
Karate club,8,17,0.8954674616853776
Karate club,8,18,1.0
Karate club,8,19,0.5116312811336268
Karate club,9,10,0.8981515101501898
Karate club,9,11,1.0
Karate club,9,12,1.0
Karate club,9,13,0.6903300269307329
Karate club,9,14,0.7585827675241466
Karate club,9,15,1.0
Karate club,9,16,0.8653018103820851
Karate club,9,17,0.8653018103820851
Karate club,9,18,0.7585827675241466
Karate club,9,19,0.6903300269307329
Karate club,10,11,0.8981515101501898
Karate club,10,12,0.8981515101501898
Karate club,10,13,0.6434103340414499
Karate club,10,14,0.8569379363106053
Karate club,10,15,0.8981515101501898
Karate club,10,16,0.7665231379956141
Karate club,10,17,0.7665231379956141
Karate club,10,18,0.8569379363106053
Karate club,10,19,0.6434103340414499
Karate club,11,12,1.0
Karate club,11,13,0.6903300269307329
Karate club,11,14,0.7585827675241466
Karate club,11,15,1.0
Karate club,11,16,0.8653018103820851
Karate club,11,17,0.8653018103820851
Karate club,11,18,0.7585827675241466
Karate club,11,19,0.6903300269307329
Karate club,12,13,0.6903300269307329
Karate club,12,14,0.7585827675241466
Karate club,12,15,1.0
Karate club,12,16,0.8653018103820851
Karate club,12,17,0.8653018103820851
Karate club,12,18,0.7585827675241466
Karate club,12,19,0.6903300269307329
Karate club,13,14,0.5116312811336268
Karate club,13,15,0.6903300269307329
Karate club,13,16,0.563919028340081
Karate club,13,17,0.563919028340081
Karate club,13,18,0.5116312811336268
Karate club,13,19,1.0
Karate club,14,15,0.7585827675241466
Karate club,14,16,0.8954674616853776
Karate club,14,17,0.8954674616853776
Karate club,14,18,1.0
Karate club,14,19,0.5116312811336268
Karate club,15,16,0.8653018103820851
Karate club,15,17,0.8653018103820851
Karate club,15,18,0.7585827675241466
Karate club,15,19,0.6903300269307329
Karate club,16,17,1.0
Karate club,16,18,0.8954674616853776
Karate club,16,19,0.563919028340081
Karate club,17,18,0.8954674616853776
Karate club,17,19,0.563919028340081
Karate club,18,19,0.5116312811336268
Les Miserables,0,1,0.7577474765362139
Les Miserables,0,2,0.9282929130522688
Les Miserables,0,3,0.8562106144870508
Les Miserables,0,4,0.8339182835573803
Les Miserables,0,5,0.8562106144870508
Les Miserables,0,6,0.8562106144870508
Les Miserables,0,7,0.8339182835573803
Les Miserables,0,8,0.8339182835573803
Les Miserables,0,9,0.8339182835573803
Les Miserables,0,10,0.8339182835573803
Les Miserables,0,11,0.8339182835573803
Les Miserables,0,12,0.7868489276455338
Les Miserables,0,13,0.9265130369340103
Les Miserables,0,14,0.7577474765362139
Les Miserables,0,15,0.9282929130522688
Les Miserables,0,16,0.9282929130522688
Les Miserables,0,17,1.0
Les Miserables,0,18,0.8339182835573803
Les Miserables,0,19,0.8007695836571139
Les Miserables,1,2,0.8234601597516616
Les Miserables,1,3,0.6362508981557868
Les Miserables,1,4,0.738448943836395
Les Miserables,1,5,0.6362508981557868
Les Miserables,1,6,0.6362508981557868
Les Miserables,1,7,0.738448943836395
Les Miserables,1,8,0.738448943836395
Les Miserables,1,9,0.738448943836395
Les Miserables,1,10,0.738448943836395
Les Miserables,1,11,0.738448943836395
Les Miserables,1,12,0.5803714935162886
Les Miserables,1,13,0.7656299944978646
Les Miserables,1,14,1.0
Les Miserables,1,15,0.8234601597516616
Les Miserables,1,16,0.8234601597516616
Les Miserables,1,17,0.7577474765362139
Les Miserables,1,18,0.738448943836395
Les Miserables,1,19,0.7814746758456482
Les Miserables,2,3,0.7885316634281239
Les Miserables,2,4,0.9014726073813045
Les Miserables,2,5,0.7885316634281239
Les Miserables,2,6,0.7885316634281239
Les Miserables,2,7,0.9014726073813045
Les Miserables,2,8,0.9014726073813045
Les Miserables,2,9,0.9014726073813045
Les Miserables,2,10,0.9014726073813045
Les Miserables,2,11,0.9014726073813045
Les Miserables,2,12,0.7225811918911731
Les Miserables,2,13,0.9330494362312024
Les Miserables,2,14,0.8234601597516616
Les Miserables,2,15,1.0
Les Miserables,2,16,1.0
Les Miserables,2,17,0.9282929130522688
Les Miserables,2,18,0.9014726073813045
Les Miserables,2,19,0.8707387109545938
Les Miserables,3,4,0.8045740150680444
Les Miserables,3,5,1.0
Les Miserables,3,6,1.0
Les Miserables,3,7,0.8045740150680444
Les Miserables,3,8,0.8045740150680444
Les Miserables,3,9,0.8045740150680444
Les Miserables,3,10,0.8045740150680444
Les Miserables,3,11,0.8045740150680444
Les Miserables,3,12,0.6737396032157215
Les Miserables,3,13,0.8508604583228752
Les Miserables,3,14,0.6362508981557868
Les Miserables,3,15,0.7885316634281239
Les Miserables,3,16,0.7885316634281239
Les Miserables,3,17,0.8562106144870508
Les Miserables,3,18,0.8045740150680444
Les Miserables,3,19,0.7498667169759198
Les Miserables,4,5,0.8045740150680444
Les Miserables,4,6,0.8045740150680444
Les Miserables,4,7,1.0
Les Miserables,4,8,1.0
Les Miserables,4,9,1.0
Les Miserables,4,10,1.0
Les Miserables,4,11,1.0
Les Miserables,4,12,0.6834998930703828
Les Miserables,4,13,0.9048641708733332
Les Miserables,4,14,0.738448943836395
Les Miserables,4,15,0.9014726073813045
Les Miserables,4,16,0.9014726073813045
Les Miserables,4,17,0.8339182835573803
Les Miserables,4,18,1.0
Les Miserables,4,19,0.9039715130804353
Les Miserables,5,6,1.0
Les Miserables,5,7,0.8045740150680444
Les Miserables,5,8,0.8045740150680444
Les Miserables,5,9,0.8045740150680444
Les Miserables,5,10,0.8045740150680444
Les Miserables,5,11,0.8045740150680444
Les Miserables,5,12,0.6737396032157215
Les Miserables,5,13,0.8508604583228752
Les Miserables,5,14,0.6362508981557868
Les Miserables,5,15,0.7885316634281239
Les Miserables,5,16,0.7885316634281239
Les Miserables,5,17,0.8562106144870508
Les Miserables,5,18,0.8045740150680444
Les Miserables,5,19,0.7498667169759198
Les Miserables,6,7,0.8045740150680444
Les Miserables,6,8,0.8045740150680444
Les Miserables,6,9,0.8045740150680444
Les Miserables,6,10,0.8045740150680444
Les Miserables,6,11,0.8045740150680444
Les Miserables,6,12,0.6737396032157215
Les Miserables,6,13,0.8508604583228752
Les Miserables,6,14,0.6362508981557868
Les Miserables,6,15,0.7885316634281239
Les Miserables,6,16,0.7885316634281239
Les Miserables,6,17,0.8562106144870508
Les Miserables,6,18,0.8045740150680444
Les Miserables,6,19,0.7498667169759198
Les Miserables,7,8,1.0
Les Miserables,7,9,1.0
Les Miserables,7,10,1.0
Les Miserables,7,11,1.0
Les Miserables,7,12,0.6834998930703828
Les Miserables,7,13,0.9048641708733332
Les Miserables,7,14,0.738448943836395
Les Miserables,7,15,0.9014726073813045
Les Miserables,7,16,0.9014726073813045
Les Miserables,7,17,0.8339182835573803
